pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
10231,Voltorb Hisui,I,Ball Pokémon,Electric,Grass,0.5,13.0,40,30,50,55,55,100,"Soundproof, Static, Aftermath",,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.","Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.","It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.",VOLTORB was first sighted at a company that manufactures POKé BALLS. The link between that sighting and the fact that this POKéMON looks very similar to a POKé BALL remains a mystery.,It looks just like a Poké Ball. It is dangerous because it may electrocute or explode on touch.,It looks just like a Poké Ball. It is dangerous because it may electrocute or explode on touch.,It was discovered when Poké Balls were introduced. It is said that there is some connection.,,,
10232,Electrode Hisui,I,Ball Pokémon,Electric,Grass,1.2,71.0,60,50,70,80,80,150,"Soundproof, Static, Aftermath",Voltorb,It stores electric energy under very high pressure. It often explodes with little or no provocation.,It stores electric energy under very high pressure. It often explodes with little or no provocation.,"It is dangerous. If it has too much electricity and has nothing to do, it amuses itself by exploding.","ELECTRODE eats electricity in the atmosphere. On days when lightning strikes, you can see this POKéMON exploding all over the place from eating too much electricity.",It is known to drift on winds if it is bloated to bursting with stored electricity.,It is known to drift on winds if it is bloated to bursting with stored electricity.,"It explodes in response to even minor stimuli. It is feared, with the nickname of “The Bomb Ball.”",,,
10233,Typhlosion Hisui,II,Volcano Pokémon,Fire,Ghost,1.6,69.8,73,84,78,119,85,95,"Blaze, Frisk",Quilava,,,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",TYPHLOSION obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This POKéMON creates blazing explosive blasts that burn everything to cinders.,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",,,
10234,Qwilfish Hisui,II,Balloon Pokémon,Dark,Poison,0.5,3.9,65,95,85,55,55,85,"Poison Point, Swift Swim, Intimidate",,,,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.","QWILFISH sucks in water, inflating itself. This POKéMON uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",It shoots the poison spines on its body in all directions. Its round form makes it a poor swimmer.,It shoots the poison spines on its body in all directions. Its round form makes it a poor swimmer.,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.",,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size.",
10235,Sneasel Hisui,II,Sharp Claw Pokémon,Fighting,Poison,0.9,27.0,55,95,55,35,75,115,"Inner Focus, Keen Eye, Pickpocket",,,,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy.",SNEASEL scales trees by punching its hooked claws into the bark. This POKéMON seeks out unguarded nests and steals eggs for food while the parents are away.,It feeds on eggs stolen from nests. Its sharply hooked claws rip vulnerable spots on prey.,A smart and sneaky Pokémon. A pair may work together to steal eggs by having one lure the parents away.,It feeds on eggs stolen from nests. Its sharply hooked claws rip vulnerable spots on prey.,"It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs.","Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.",
10236,Samurott Hisui,V,Formidable Pokémon,Water,Dark,1.5,58.2,90,108,80,100,65,85,"Torrent, Sharpness",Dewott,,,,,,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs.",,,
10237,Lilligant Hisui,V,Flowering Pokémon,Grass,Fighting,1.2,19.2,70,105,75,50,75,105,"Chlorophyll, Hustle, Leaf Guard",Petilil,,,,,,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,The fragrance of the garland on its head has a relaxing effect. It withers if a Trainer does not take good care of it.,"No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild.",It’s believed that even first-rate gardeners have a hard time getting the flower on a Lilligant’s head to bloom.,
10238,Zorua Hisui,V,Tricky Fox Pokémon,Normal,Ghost,0.7,12.5,35,60,40,85,40,70,Illusion,,,,,,,"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child.","It changes so it looks just like its foe, tricks it, and then uses that opportunity to flee.",,Zorua is a timid Pokémon. This disposition seems to be what led to the development of Zorua’s ability to take on the forms of other creatures.,
10239,Zoroark Hisui,V,Illusion Fox Pokémon,Normal,Ghost,1.6,73.0,55,100,60,125,60,110,Illusion,Zorua,,,,,,Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.,Each has the ability to fool a large group of people simultaneously. They protect their lair with illusory scenery.,,"This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe.",
10240,Braviary Hisui,V,Valiant Pokémon,Psychic,Flying,1.7,43.4,110,83,70,112,70,65,"Keen Eye, Sheer Force, Tinted Lens",Rufflet,,,,,,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,"For the sake of its friends, this brave warrior of the sky will not stop battling, even if injured.","With its brave disposition, it fears nothing—not even death. Ancient Alolan people respected it, referring to it as “the hero of the sky.”","Known for its bravery and pride, this majestic Pokémon is often seen as a motif for various kinds of emblems.",
10241,Sliggoo Hisui,VI,Soft Tissue Pokémon,Steel,Dragon,0.7,68.5,58,75,83,83,113,40,"Sap Sipper, Shell Armor, Gooey",Goomy,,,,,,,"It drives away opponents by excreting a sticky liquid that can dissolve anything. Its eyes devolved, so it can’t see anything.",It has trouble drawing a line between friends and food. It will calmly try to melt and eat even those it gets along well with.,"Although this Pokémon isn’t very strong, its body is coated in a caustic slime that can melt through anything, so predators steer clear of it.",
10242,Goodra Hisui,VI,Dragon Pokémon,Steel,Dragon,1.7,334.1,80,100,100,110,150,60,"Sap Sipper, Shell Armor, Gooey",Sliggoo,,,,,,,"This very friendly Dragon-type Pokémon will hug its beloved Trainer, leaving that Trainer covered in sticky slime.","An amazingly friendly Pokémon, but if left to itself, loneliness overcomes it, and it oozes gooey tears.","Sometimes it misunderstands instructions and appears dazed or bewildered. Many Trainers don’t mind, finding this behavior to be adorable.",
10243,Avalugg Hisui,VI,Iceberg Pokémon,Ice,Rock,1.4,262.4,95,127,184,34,36,38,"Strong Jaw, Ice Body, Sturdy",Bergmite,,,,,,,Its ice-covered body is as hard as steel. Its cumbersome frame crushes anything that stands in its way.,,"At high latitudes, this Pokémon can be found with clusters of Bergmite on its back as it swims among the icebergs.",
10244,Decidueye Hisui,VII,Arrow Quill Pokémon,Grass,Fighting,1.6,37.0,88,112,80,95,95,60,"Overgrow, Scrappy",Dartrix,,,,,,,,"It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.","As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings. Decidueye’s shots never miss.",
10245,Dialga Origin,IV,Temporal Pokémon,Steel,Dragon,7.0,848.7,100,100,120,150,120,90,"Pressure, Telepathy",,,,,,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,A legendary Pokémon of Sinnoh. It is said that time flows when Dialga’s heart beats.,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.,,,
10246,Palkia Origin,IV,Spatial Pokémon,Water,Dragon,6.3,659.0,90,100,100,150,120,120,"Pressure, Telepathy",,,,,,It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.,A legendary Pokémon of Sinnoh. It is said that space becomes more stable with Palkia’s every breath.,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.,,,
10247,Basculin White Striped,V,Hostile Pokémon,Water,,1.0,18.0,70,92,65,80,55,98,"Rattled, Adaptability, Mold Breaker",,,,,,,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile.",Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.,,Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.,
10248,Basculegion Female,VIII,Big Fish Pokémon,Water,Ghost,3.0,110.0,120,92,65,100,75,78,"Swift Swim, Adaptability, Mold Breaker",Basculin,,,,,,,,,,
10249,Enamorus Therian,VIII,Love-Hate Pokémon,Fairy,Flying,1.6,48.0,74,115,110,135,100,46,Overcoat,,,,,,,,,,,
10250,Tauros Paldea Combat Breed,I,Wild Bull Pokémon,Fighting,,1.4,115.0,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",,"When it targets an enemy, it charges furiously while whipping its body with its long tails.","When it targets an enemy, it charges furiously while whipping its body with its long tails.",They fight each other by locking horns. The herd's protector takes pride in its bat­ tle-scarred horns.,"This POKéMON is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself.","Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature.","Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature.","After heightening its will to fight by whipping itself with its three tails, it charges at full speed.","Historically, people in areas all over the world have ridden Tauros, but the practice is said to have started in Alola.","When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.",
10251,Tauros Paldea Blaze Breed,I,Wild Bull Pokémon,Fighting,Fire,1.4,85.0,75,110,105,30,70,100,"Intimidate, Anger Point, Cud Chew",,"When it targets an enemy, it charges furiously while whipping its body with its long tails.","When it targets an enemy, it charges furiously while whipping its body with its long tails.",They fight each other by locking horns. The herd's protector takes pride in its bat­ tle-scarred horns.,"This POKéMON is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself.","Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature.","Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature.","After heightening its will to fight by whipping itself with its three tails, it charges at full speed.","Historically, people in areas all over the world have ridden Tauros, but the practice is said to have started in Alola.","When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.",
